accelerationSensor,acceleration
airConditionerMode,airConditionerMode
airQualitySensor,airQuality
alarm,alarm
audioMute,mute
audioTrackData,audioTrackData
audioVolume,volume
battery,battery
beacon,presence
bulb,switch
button,numberOfButtons
button,button
carbonDioxideMeasurement,carbonDioxide
carbonMonoxideDetector,carbonMonoxide
colorControl,color
colorControl,hue
colorControl,saturation
colorTemperature,colorTemperature
color,colorValue
colorMode,colorMode
consumable,consumableStatus
contactSensor,contact
demandResponseLoadControl,drlcStatus
dishwasherMode,dishwasherMode
dishwasherOperatingState,completionTime
dishwasherOperatingState,supportedMachineStates
dishwasherOperatingState,machineState
dishwasherOperatingState,dishwasherJobState
doorControl,door
dryerMode,dryerMode
dryerOperatingState,dryerJobState
dryerOperatingState,supportedMachineStates
dryerOperatingState,machineState
dryerOperatingState,completionTime
dustSensor,dustLevel
dustSensor,fineDustLevel
energyMeter,energy
estimatedTimeOfArrival,eta
execute,data
fanSpeed,fanSpeed
filterStatus,filterStatus
garageDoorControl,door
geolocation,heading
geolocation,accuracy
geolocation,method
geolocation,lastUpdateTime
geolocation,altitudeAccuracy
geolocation,latitude
geolocation,speed
geolocation,longitude
holdableButton,numberOfButtons
holdableButton,button
illuminanceMeasurement,illuminance
imageCapture,image
indicator,indicatorStatus
infraredLevel,infraredLevel
light,switch
lockOnly,lock
lock,lock
mediaController,currentActivity
mediaController,activities
mediaInputSource,inputSource
mediaInputSource,supportedInputSources
mediaPlaybackRepeat,playbackRepeatMode
mediaPlaybackShuffle,playbackShuffle
mediaPlayback,playbackStatus
mediaPlayback,level
mediaPresets,presets
motionSensor,motion
musicPlayer,trackData
musicPlayer,status
musicPlayer,level
musicPlayer,mute
musicPlayer,trackDescription
odorSensor,odorLevel
outlet,switch
ovenMode,ovenMode
ovenOperatingState,progress
ovenOperatingState,operationTime
ovenOperatingState,ovenJobState
ovenOperatingState,supportedMachineStates
ovenOperatingState,machineState
ovenOperatingState,completionTime
ovenSetpoint,ovenSetpoint
pHMeasurement,pH
powerConsumptionReport,powerConsumption
powerMeter,power
powerSource,powerSource
presenceSensor,presence
rapidCooling,rapidCooling
refrigerationSetpoint,refrigerationSetpoint
relativeHumidityMeasurement,humidity
relaySwitch,switch
robotCleanerCleaningMode,robotCleanerCleaningMode
robotCleanerMovement,robotCleanerMovement
robotCleanerTurboMode,robotCleanerTurboMode
shockSensor,shock
signalStrength,rssi
signalStrength,lqi
sleepSensor,sleeping
smokeDetector,smoke
soundPressureLevel,soundPressureLevel
soundSensor,sound
speechRecognition,phraseSpoken
stepSensor,steps
stepSensor,goal
switchLevel,level
switch,switch
tamperAlert,tamper
temperatureMeasurement,temperature
thermostatCoolingSetpoint,coolingSetpoint
thermostatFanMode,thermostatFanMode
thermostatFanMode,supportedThermostatFanModes
thermostatHeatingSetpoint,heatingSetpoint
thermostatMode,supportedThermostatModes
thermostatMode,thermostatMode
thermostatOperatingState,thermostatOperatingState
thermostatSetpoint,thermostatSetpoint
thermostat,thermostatMode
thermostat,temperature
thermostat,thermostatSetpointRange
thermostat,heatingSetpoint
thermostat,thermostatOperatingState
thermostat,supportedThermostatFanModes
thermostat,schedule
thermostat,supportedThermostatModes
thermostat,thermostatSetpoint
thermostat,heatingSetpointRange
thermostat,thermostatFanMode
thermostat,coolingSetpointRange
thermostat,coolingSetpoint
threeAxis,threeAxis
timedSession,sessionStatus
timedSession,completionTime
touchSensor,touch
tvChannel,tvChannel
ultravioletIndex,ultravioletIndex
valve,valve
videoClips,videoClip
videoStream,stream
voltageMeasurement,voltage
washerMode,washerMode
washerOperatingState,washerJobState
washerOperatingState,supportedMachineStates
washerOperatingState,machineState
washerOperatingState,completionTime
waterSensor,water
