airConditionerMode,setAirConditionerMode
alarm,both
alarm,off
alarm,siren
alarm,strobe
audioMute,unmute
audioMute,mute
audioMute,setMute
audioNotification,playTrackAndResume
audioNotification,playTrack
audioNotification,playTrackAndRestore
audioVolume,volumeDown
audioVolume,setVolume
audioVolume,volumeUp
bulb,off
bulb,on
colorControl,setSaturation
colorControl,setColor
colorControl,setHue
colorTemperature,setColorTemperature
color,setColorValue
configuration,configure
consumable,setConsumableStatus
demandResponseLoadControl,overrideDrlcAction
demandResponseLoadControl,requestDrlcAction
dishwasherMode,setDishwasherMode
dishwasherOperatingState,setMachineState
doorControl,open
doorControl,close
dryerMode,setDryerMode
dryerOperatingState,setMachineState
execute,execute
fanSpeed,setFanSpeed
garageDoorControl,open
garageDoorControl,close
imageCapture,take
indicator,indicatorNever
indicator,indicatorWhenOn
indicator,indicatorWhenOff
infraredLevel,setInfraredLevel
light,off
light,on
lockOnly,lock
lock,lock
lock,unlock
mediaController,startActivity
mediaInputSource,setInputSource
mediaPlaybackRepeat,setPlaybackRepeatMode
mediaPlaybackShuffle,setPlaybackShuffle
mediaPlayback,pause
mediaPlayback,setPlaybackStatus
mediaPlayback,play
mediaPlayback,stop
mediaPresets,playPreset
mediaPresets,selectPreset
mediaTrackControl,previousTrack
mediaTrackControl,nextTrack
momentary,push
musicPlayer,pause
musicPlayer,playTrack
musicPlayer,nextTrack
musicPlayer,previousTrack
musicPlayer,restoreTrack
musicPlayer,stop
musicPlayer,unmute
musicPlayer,play
musicPlayer,setTrack
musicPlayer,resumeTrack
musicPlayer,setLevel
musicPlayer,mute
notification,deviceNotification
outlet,off
outlet,on
ovenMode,setOvenMode
ovenOperatingState,setMachineState
ovenOperatingState,stop
ovenSetpoint,setOvenSetpoint
polling,poll
rapidCooling,setRapidCooling
refresh,refresh
refrigerationSetpoint,setRefrigerationSetpoint
relaySwitch,off
relaySwitch,on
robotCleanerCleaningMode,setRobotCleanerCleaningMode
robotCleanerMovement,setRobotCleanerMovement
robotCleanerTurboMode,setRobotCleanerTurboMode
speechSynthesis,speak
switchLevel,setLevel
switch,off
switch,on
thermostatCoolingSetpoint,setCoolingSetpoint
thermostatFanMode,fanOn
thermostatFanMode,setThermostatFanMode
thermostatFanMode,fanCirculate
thermostatFanMode,fanAuto
thermostatHeatingSetpoint,setHeatingSetpoint
thermostatMode,auto
thermostatMode,off
thermostatMode,setThermostatMode
thermostatMode,emergencyHeat
thermostatMode,heat
thermostatMode,cool
thermostat,fanOn
thermostat,fanAuto
thermostat,setCoolingSetpoint
thermostat,auto
thermostat,fanCirculate
thermostat,off
thermostat,setThermostatMode
thermostat,setSchedule
thermostat,setHeatingSetpoint
thermostat,setThermostatFanMode
thermostat,emergencyHeat
thermostat,heat
thermostat,cool
timedSession,pause
timedSession,setCompletionTime
timedSession,stop
timedSession,start
timedSession,cancel
tone,beep
tvChannel,channelDown
tvChannel,setTvChannel
tvChannel,channelUp
valve,open
valve,close
videoClips,captureClip
videoStream,stopStream
videoStream,startStream
washerMode,setWasherMode
washerOperatingState,setMachineState
